Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option	11.1171
Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option	10.0949
Franklin India Banking & PSU Debt Fund - Direct - Growth	23.6187
Franklin India Banking & PSU Debt Fund - Growth	22.5965
Franklin India Banking and PSU Debt Fund - Direct - IDCW 	11.5249
Franklin India Banking and PSU Debt Fund - IDCW 	10.9003
HDFC Banking and PSU Debt Fund - Growth Option	23.1547
HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan	24.1237
HDFC Banking and PSU Debt Fund - IDCW Option	10.1753
HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan	9.9868
HSBC Banking and PSU Debt Fund - Direct Daily IDCW	11.159
HSBC Banking and PSU Debt Fund - Direct Growth	25.7616
HSBC Banking and PSU Debt Fund - Direct Monthly IDCW	11.2876
HSBC Banking and PSU Debt Fund - Direct Weekly IDCW	10.316
HSBC Banking and PSU Debt Fund - Regular Daily IDCW	11.0823
HSBC Banking and PSU Debt Fund - Regular Growth	24.4472
HSBC Banking and PSU Debt Fund - Regular Monthly IDCW	10.5505
HSBC Banking and PSU Debt Fund - Regular Weekly IDCW	10.287
ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW	10.0549
ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW	10.2427
ICICI Prudential Banking and PSU Debt Fund - Bonus	15.8889
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW	10.2538
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth	34.3741
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW	12.9779
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW	10.3708
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus	13.8665
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option	13.1098
ICICI Prudential Banking and PSU Debt Fund - Growth	32.9589
ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW	10.9828
ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option	12.9261
ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend	10.0122
ICICI Prudential Banking and PSU Debt Fund Retail Growth	21.631
ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend	10.3305
Invesco India Banking and PSU Fund - Daily IDCW (Reinvestment)	1047.0638
Invesco India Banking and PSU Fund - Direct Plan -  Growth Option	2441.2865
Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment)	1060.3639
Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1007.9276
Invesco India Banking and PSU Fund - Growth Option	2278.9227
Invesco India Banking and PSU Fund - Monthly IDCW (Payout / Reinvestment)	1058.482
